timestamp, pA
0, 507.156815
0, 502.380981
0, 503.299411
0, 504.401526
0, 503.299411
0, 504.034154
0, 504.585212
0, 504.401526
0, 499.809378
0, 504.034154
0, 502.564667
0, 500.544122
0, 504.952584
0, 504.034154
0, 502.013609
0, 502.748353
0, 500.360436
0, 502.564667
0, 504.952584
0, 502.748353
0, 505.319956
0, 504.768898
0, 500.544122
0, 503.299411
0, 506.238385
0, 504.952584
0, 504.768898
0, 503.483096
0, 501.829923
0, 505.503642
0, 504.952584
0, 504.217840
0, 503.483096
0, 505.871013
0, 506.054699
0, 506.605757
0, 505.319956
0, 503.115725
0, 505.319956
0, 505.871013
0, 506.238385
0, 503.850468
0, 504.952584
0, 509.361046
0, 505.871013
0, 503.666782
0, 504.034154
0, 502.380981
0, 504.952584
0, 505.687327
0, 501.829923
0, 503.666782
0, 504.585212
0, 502.932039
0, 502.380981
0, 500.911494
0, 500.176750
0, 501.095180
0, 503.115725
0, 502.380981
0, 499.625692
0, 502.380981
0, 505.319956
0, 505.136270
0, 502.197295
0, 501.278865
0, 502.748353
0, 501.829923
0, 502.013609
0, 502.564667
0, 503.666782
0, 502.380981
0, 501.646237
0, 501.646237
0, 503.666782
0, 502.380981
0, 504.034154
0, 505.503642
0, 506.054699
0, 502.564667
0, 504.768898
0, 504.401526
0, 507.524187
0, 507.340501
0, 505.687327
0, 504.952584
0, 505.136270
0, 503.666782
0, 506.789443
0, 507.891558
0, 505.871013
0, 504.401526
0, 507.891558
0, 506.054699
0, 507.707873
0, 505.503642
0, 505.871013
0, 503.115725
0, 505.136270
0, 502.748353
0, 505.687327
0, 507.340501
0, 505.503642
0, 501.462551
0, 501.646237
0, 503.666782
0, 503.666782
0, 500.544122
0, 501.095180
0, 503.666782
0, 504.585212
0, 502.748353
0, 503.483096
0, 500.544122
0, 502.197295
0, 503.483096
0, 503.666782
0, 505.503642
0, 503.299411
0, 504.585212
0, 504.401526
0, 503.115725
0, 502.564667
0, 502.564667
0, 503.850468
0, 503.850468
0, 503.299411
0, 504.217840
0, 506.054699
0, 505.871013
0, 505.136270
0, 505.503642
0, 505.503642
0, 506.054699
0, 504.952584
0, 505.687327
0, 505.319956
0, 506.605757
0, 502.197295
0, 505.319956
0, 504.768898
0, 505.503642
0, 507.707873
0, 507.340501
0, 506.605757
0, 503.299411
0, 504.768898
0, 505.503642
0, 507.340501
0, 506.422071
0, 502.748353
0, 501.646237
0, 504.034154
0, 502.380981
0, 503.666782
0, 501.646237
0, 500.176750
0, 503.299411
0, 503.850468
